Title,Publisher,Field of Research,Rating,ISSN,ISSN Online,Website,Numerical Rating,Discipline
Civil Justice Quarterly,Sweet & Maxwell,180105,A,0261-9261,,,2,
Cognitive Psychology,Elsevier,1503,A,0010-0285,1095-5623,,2,Education
Columbia Business Law Review,Columbia Business Law Review,180105,A,0898-0721,1930-7934,,2,
Columbia Journal of Asian Law,Columbia Law School,180105,A,1094-8449,2373-0498,,2,
Columbia Journal of Law and the Arts,Columbia University,180105,A,1544-4848,,,2,
Columbia Journal of Transnational Law,Columbia Society of International Law,180105,A,0010-1931,2159-1814,,2,
Communication Monographs,Taylor & Francis Online,1503,A,0363-7751,1479-5787,,2,Education
Communication Research,Sage Publications,1503,A,0093-6502,1552-3810,,2,Education
Communication Theory,Oxford University Press,1503,A,1050-3293,1468-2885,,2,Education
Communications of the ACM,Association for Computing Machinery,806,A,0001-0782,1557-7317,,2,Information Systems
Communications of the Association for Information Systems,Association for Information Systems (AIS),806,A,1529-3181,,,2,Information Systems
Company and Securities Law Journal,Thomson Reuters,180105,A,0729-2775,,,2,
Comparative Labor Law and Policy Journal,University of Illinois Press,180105,A,1095-6654,,,2,
Comparative Politics,City University of New York,1599,A,0010-4159,2151-6227,,2,
Competition and Consumer Law Journal,LexisNexis,180105,A,1039-5598,,,2,
Computational Statistics and Data Analysis,Elsevier,104,A,0167-9473,1872-7352,,2,
Computers & Industrial Engineering,Elsevier,1503,A,1879-0550,0360-8352,,2,Education
Computers and Operations Research,Elsevier,1503,A,0305-0548,1873-765X,,2,Education
Computers and Security,Elsevier,806,A,0167-4048,1872-6208,,2,Information Systems
Computers in Human Behavior,Elsevier,806,A,0747-5632,1873-7692,,2,Information Systems
Construction Management and Economics,Taylor & Francis Online,1504,A,0144-6193,1466-433X,,2,
Cornell Hospitality Quarterly,Sage Publications,1504,A,1938-9655,1938-9663,,2,
Corporate Governance: An international review,Wiley-Blackwell Publishing,1503,A,0964-8410,1467-8683,,2,Education
Critical Perspectives on Accounting,Elsevier,1501,A,1045-2354,1095-9955,,2,
Current Issues in Tourism,Taylor & Francis Online,1506,A,1368-3500,1747-7603,,2,
Current Legal Problems,Oxford University Press,180105,A,0070-1998,,,2,
Dalhousie Law Journal,Dalhousie University Faculty of Law,180105,A,0317-1663,,,2,
Data and Knowledge Engineering,Elsevier,806,A,0169-023X,1872-6933,,2,Information Systems
Data Base for Advances in Information Systems,Sheridan Press,806,A,0095-0033,1532-0936,,2,Information Systems
Deakin Law Review,Deakin University,180105,A,1835-9264,,,2,
Decision,American Psychological Association,1503,A,2325-9965,,,2,Education
Decision Analysis,The Institute for Operations Research and the Management Sciences (INFORMS),1503,A,1545-8490,1545-8504,,2,Education
Delaware Journal of Corporate Law,Delaware Law School of Widener College,180105,A,0364-9490,1943-7331,,2,
Demographic Research,Max Planck Institute for Demographic Research,1503,A,1435-9871,,,2,Education
Demography,Springer International Publishing,1503,A,0070-3370,1533-7790,,2,Education
Design Studies,Elsevier,1503,A,0142-694X,1872-6909,,2,Education
Disasters,Wiley-Blackwell Publishing,1599,A,0361-3666,1467-7717,,2,
Discourse & Communication,Sage Publications,1503,A,1750-4813,1750-4821,,2,Education
Discourse & Society,Sage Publications,1503,A,0957-9265,1460-3624,,2,Education
Discourse Studies,Sage Publications,1503,A,1461-4456,1461-7080,,2,Education
Duke Journal of Comparative and International Law,Duke University School of Law,180105,A,1053-6736,2328-9708,http://scholarship.law.duke.edu/djcil/,2,
Ecological Economics,Elsevier,1499,A,0921-8009,1873-6106,,2,
Ecology,Wiley-Blackwell Publishing,1599,A,0012-9658,1939-9170,,2,
Econometric Reviews,Taylor & Francis Online,1403,A,0747-4938,1532-4168,,2,
Econometrics Journal,Oxford University Press,1403,A,1368-4221,1368-423X,,2,
Economic and Industrial Democracy: an international journal,Sage Publications,1402,A,0143-831X,1461-7099,,2,
Economic Development and Cultural Change,The University of Chicago Press,1402,A,0013-0079,1539-2988,,2,
Economic Geography,Taylor & Francis Online,1402,A,0013-0095,1944-8287,,2,
Economic Inquiry,Wiley-Blackwell Publishing,1402,A,0095-2583,1465-7295,,2,
Economic Modelling,Elsevier,1402,A,0264-9993,1873-6122,,2,
Economic Policy: A European forum,Oxford University Press,1402,A,0266-4658,1468-0327,,2,
Economica,Wiley-Blackwell Publishing,1402,A,0013-0427,1468-0335,,2,
Economics & Politics,Wiley-Blackwell Publishing,1402,A,0954-1985,1468-0343,,2,
Economics and Human Biology,Elsevier,1402,A,1570-677X,1873-6130,,2,
Economics and Philosophy,Cambridge University Press,1402,A,0266-2671,1474-0028,,2,
Economics Letters,Elsevier,1402,A,0165-1765,1873-7374,,2,
Economics of Education Review,Elsevier,1402,A,0272-7757,1873-7382,,2,
Economy and Society,Taylor & Francis Online,1402,A,0308-5147,1469-5766,,2,
Education Finance and Policy,MIT Press,1402,A,1557-3060,1557-3079,,2,
Educational and Psychological Measurement,Sage Publications,1503,A,0013-1644,1552-3888,,2,Education
eJournal of Tax Research,Australian School of Taxation and Business Law,180125,A,1448-2398,,,2,
Electronic Commerce Research,Springer International Publishing,806,A,1389-5753,1572-9362,,2,Information Systems
Electronic Journal of Probability,Institute of Mathematical Statistics,104,A,,1083-6489,,2,
Electronic Markets,Springer Nature,806,A,1019-6781,1422-8890,,2,Information Systems
Emerging Markets Review,Elsevier,1502,A,1566-0141,1873-6173,,2,
Empirical Economics,Springer International Publishing,1402,A,0377-7332,1435-8921,,2,
Energy Journal,International Association for Energy Economics,1402,A,0195-6574,1944-9089,,2,
Energy Policy,Elsevier,1599,A,0301-4215,1873-6777,,2,
"Engineering, Construction and Architectural Management",Emerald Group Publishing,1504,A,0969-9988,1365-232X,,2,
Enterprise and Society: The international journal of business and history,Cambridge University Press,1503,A,1467-2227,1467-2235,,2,Education
Enterprise Information Systems,Taylor & Francis Online,806,A,1751-7575,1751-7583,,2,Information Systems
Entrepreneurship and Regional Development,Taylor & Francis Online,1503,A,0898-5626,1464-5114,,2,Education
Environment and Planning D: Society and space,Sage Publications,1599,A,0263-7758,1472-3433,,2,
Environmental and Ecological Statistics,Springer International Publishing,104,A,1352-8505,1573-3009,,2,
Environmental and Resource Economics,Springer International Publishing,1402,A,0924-6460,1573-1502,,2,
Environmental Education Research,Taylor & Francis Online,1599,A,1350-4622,1469-5871,,2,
"Ethics: an international journal of social, political, and legal philosophy",The University of Chicago Press,1503,A,0014-1704,1539-297X,,2,Education
European Competition Law Review,Sweet & Maxwell,180105,A,0144-3054,,http://www.sweetandmaxwell.co.uk/catalogue/productdetails.aspx?recordid=455&productid=7051,2,
European Financial Management,Wiley-Blackwell Publishing,1502,A,1354-7798,1468-036X,,2,
European Intellectual Property Review,Sweet & Maxwell,180105,A,0142-0461,1749-5083,http://www.sweetandmaxwell.co.uk/Catalogue/ProductDetails.aspx?recordid=460,2,
European Journal of Health Economics,Springer International Publishing,1402,A,1618-7598,1618-7601,,2,
European Journal of Industrial Relations,Sage Publications,1503,A,0959-6801,1461-7129,http://ejd.sagepub.com/,2,Education
European Journal of International Law,Oxford University Press,180105,A,0938-5428,1464-3596,http://ejil.oxfordjournals.org/,2,
European Journal of International Relations,Sage Publications,1503,A,1354-0661,1460-3713,http://ejt.sagepub.com/,2,Education
European Journal of Personality,Wiley-Blackwell Publishing,1503,A,0890-2070,1099-0984,,2,Education
European Journal of Political Economy,Elsevier,1402,A,0176-2680,1873-5703,http://www.journals.elsevier.com/european-journal-of-political-economy/,2,
European Journal of Political Research,Wiley-Blackwell Publishing,1599,A,0304-4130,1475-6765,,2,
European Journal of Social Psychology,Wiley-Blackwell Publishing,1503,A,0046-2772,1099-0992,,2,Education
European Journal of Sociology,Cambridge University Press,1503,A,0003-9756,1474-0583,http://journals.cambridge.org/,2,Education
European Journal of Work and Organizational Psychology,Taylor & Francis Online,1503,A,1359-432X,1464-0643,,2,Education
European Law Review,Sweet & Maxwell,180105,A,0307-5400,,http://www.sweetandmaxwell.co.uk/catalogue/productdetails.aspx?recordid=427&productid=6968,2,
European Review of Agricultural Economics,Oxford University Press,1402,A,0165-1587,1464-3618,http://erae.oxfordjournals.org/,2,
European Review of Economic History,Oxford University Press,1402,A,1361-4916,1474-0044,,2,
European Sport Management Quarterly,Taylor & Francis Online,1504,A,1618-4742,1746-031X,,2,
European Urban and Regional Studies,Sage Publications,1503,A,0969-7764,1461-7145,http://eur.sagepub.com/,2,Education
Event Management,Cognizant Communication Corporation,1506,A,1525-9951,1943-4308,,2,
Explorations in Economic History,Elsevier,1402,A,0014-4983,1090-2457,http://www.journals.elsevier.com/explorations-in-economic-history/,2,
Family Business Review,Sage Publications,1503,A,0894-4865,1741-6248,http://fbr.sagepub.com/,2,Education
Feminist Economics,Taylor & Francis Online,1402,A,1354-5701,1466-4372,http://www.tandfonline.com/rfec,2,
Finance and Stochastics,Springer International Publishing,1502,A,0949-2984,1432-1122,http://www.springerlink.com/,2,
Finance Research Letters,Elsevier,1502,A,1544-6123,1544-6131,,2,
Financial Accountability and Management,Wiley-Blackwell Publishing,1501,A,0267-4424,1468-0408,,2,
Financial Analysts Journal,Taylor & Francis Online,1502,A,0015-198X,1938-3312,,2,
Financial Management,Wiley-Blackwell Publishing,1502,A,0046-3892,1755-053X,,2,
Financial Review (US),Wiley-Blackwell Publishing,1502,A,0732-8516,1540-6288,,2,
Food Quality and Preference,Elsevier,1505,A,0950-3293,,,2,
Foundations and Trends in Accounting,Now Publishers,1501,A,1554-0642,1554-0650,,2,
"Gender, Work and Organization",Wiley-Blackwell Publishing,1503,A,0968-6673,1468-0432,,2,Education
Global Finance Journal,Elsevier,1502,A,1044-0283,1873-5665,,2,
Global Networks,Wiley-Blackwell Publishing,1503,A,1470-2266,1471-0374,,2,Education
Global Strategy Journal,Wiley-Blackwell Publishing,1503,A,2042-5791,2042-5805,,2,Education
Group Decision and Negotiation,Springer International Publishing,806,A,0926-2644,1572-9907,http://springerlink.metapress.com/,2,Information Systems
Group Organization Management: an international journal,Sage Publications,1503,A,1059-6011,1552-3993,http://www.sagepub.com/,2,Education
Habitat International,Elsevier,1504,A,0197-3975,1873-5428,http://www.journals.elsevier.com/habitat-international,2,
Harvard Business Review,Harvard Business Publishing,1503,A,0017-8012,,,2,Education
Harvard Environmental Law Review,Harvard Environmental Law Review,180105,A,0147-8257,,http://www.heinonline.org/,2,
Harvard International Law Journal,Harvard University Press,180105,A,0017-8063,2153-2494,,2,
Harvard Journal of Law and Public Policy,Harvard Society for Law and Public Policy,180105,A,0193-4872,2374-6572,,2,
Harvard Journal of Law and Technology,Harvard University Press,180105,A,0897-3393,2153-263X,,2,
Health Care Management Review,Lippincott Williams & Wilkins,1503,A,0361-6274,1550-5030,,2,Education
Health Policy,Elsevier,1402,A,0168-8510,1872-6054,,2,
Health Promotion International,Oxford University Press,1505,A,0957-4824,1460-2245,,2,
Health Services Research,Wiley-Blackwell Publishing,1503,A,0017-9124,1475-6773,,2,Education
History of Political Economy,Duke University Press,1401,A,0018-2702,1527-1919,http://hope.dukejournals.org/,2,
Hong Kong Law Journal,Thomson Reuters,180105,A,0378-0600,,http://www.law.hku.hk/hklj/index.php,2,
Housing Studies,Taylor & Francis Online,1504,A,0267-3037,1466-1810,http://www.tandfonline.com/chos,2,
Human Communication Research,Oxford University Press,1503,A,0360-3989,1468-2958,,2,Education
Human Performance,Taylor & Francis Online,1503,A,0895-9285,1532-7043,http://www.tandfonline.com/hhup,2,Education
Human Resource Management Journal (UK),Wiley-Blackwell Publishing,1503,A,0954-5395,1748-8583,,2,Education
Human Resource Management Review,Elsevier,1503,A,1053-4822,1873-7889,http://www.journals.elsevier.com/human-resource-management-review,2,Education
Human-Computer Interaction,Taylor & Francis Online,806,A,0737-0024,1532-7051,http://www.tandfonline.com/hhci,2,Information Systems
IBM Systems Journal,International Business Machines (IBM) Corp.,806,A,0018-8670,,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?reload=true&punumber=5288519&cm_mc_uid=84651411038414727177413&cm_mc_sid_50200000=1472717741,2,Information Systems
IEEE Transactions on Engineering Management,Institute of Electrical and Electronics Engineers,1503,A,1558-0040,0018-9391,,2,Education
IEEE Transactions on Intelligent Transportation Systems,Institute of Electrical and Electronics Engineers,1507,A,1524-9050,1558-0016,http://ieeexplore.ieee.org/,2,
IEEE Transactions on Vehicular Technology,Institute of Electrical and Electronics Engineers,1507,A,0018-9545,1939-9359,http://ieeexplore.ieee.org/,2,
IIC International Review of Intellectual Property and Competition Law,Springer International Publishing,180105,A,0018-9855,2195-0237,,2,
IIE Transactions,Taylor & Francis Online,1503,A,0740-817X,1545-8830,http://www.tandfonline.com/loi/uiie20,2,Education
IMF Economic Review,Palgrave Macmillan,1402,A,2041-4161,2041-417Xâ€Ž,,2,
Industrial and Corporate Change,Oxford University Press,1503,A,0960-6491,1464-3650,http://icc.oxfordjournals.org/,2,Education
Industrial Law Journal,Oxford University Press,180105,A,0305-9332,1464-3669,http://ilj.oxfordjournals.org/,2,
Industrial Management & Data Systems,Emerald Group Publishing,806,A,0263-5577,1758-5783,,2,Information Systems
Industrial Relations Journal,Wiley-Blackwell Publishing,1503,A,0019-8692,1468-2338,,2,Education
Information and Software Technology,Elsevier,806,A,0950-5849,1873-6025,,2,Information Systems
Information Economics and Policy,Elsevier,1402,A,0167-6245,1873-5975,,2,
Information Systems Frontiers,Springer International Publishing,806,A,1387-3326,1572-9419,http://www.springerlink.com/,2,Information Systems
Information Technology & People,Emerald Group Publishing,806,A,0959-3845,1758-5813,,2,Information Systems
"Information, Communication & Society",Taylor & Francis Online,806,A,1369-118X,1468-4462,,2,Information Systems
Insolvency Law Journal,Thomson Reuters,180105,A,1039-3293,,http://legalonline.thomson.com.au/jour/,2,
Insurance Law Journal,LexisNexis,180105,A,1030-2379,,http://www.lexisnexis.com/au/legal/,2,
Intellectual Property Journal,HAB Press Limited,180105,A,0824-7064,,,2,
International Affairs,"John Wiley & Sons, Inc.",1599,A,0020-5850,1468-2346,http://www.wiley.com/bw/journal.asp?ref=0020-5850,2,
International and Comparative Corporate Law Journal,Kluwer Law International,180105,A,1388-7084,1875-8290,http://www.cmppublishing.com/,2,
International Business Review,Elsevier,1503,A,0969-5931,1873-6149,http://www.journals.elsevier.com/international-business-review/,2,Education
"International Environmental Agreements: Politics, Law and Economics",Springer International Publishing,1402,A,1567-9764,1573-1553,http://link.springer.com/journal/10784,2,
International Insurance Law Review,Thomson Reuters,180105,A,0968-2090,,,2,
International Journal of Accounting Information Systems,Elsevier,1501,A,1467-0895,1873-4723,,2,
International Journal of Advertising,Taylor & Francis Online,1505,A,0265-0487,1759-3948,,2,
International Journal of Auditing,Wiley-Blackwell Publishing,1501,A,1090-6738,1099-1123,,2,
International Journal of Bank Marketing,Emerald Group Publishing,1505,A,0265-2323,1758-5937,,2,
